file_path,Name,full_name,Start Line,End Line,Comment,Pre_Comment,child Name,domain,inner_method,node_level
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/Loader.java,<init>,org.apache.pdfbox.Loader:<init>(),45,47," /**
    * Initializes and sets up the Loader.
    */",,,,False,1
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/pdmodel/common/COSArrayList.java,removeAll,org.apache.pdfbox.pdmodel.common.COSArrayList:removeAll(java.util.Collection),374,388," /**
    * Removes and dereferences all matched objects from an array.
    * @param c collection of items to be removed
    * @param actual the original ArrayList containing the items
    * @return true if any elements were removed from the actual list
    */",,,,False,1
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/pdmodel/common/COSArrayList.java,retainAll,org.apache.pdfbox.pdmodel.common.COSArrayList:retainAll(java.util.Collection),396,410," /**
    * Removes non-matching objects from 'actual' list based on given collection 'c'.
    * @param c Collection of items to compare with and retain in 'actual' list.
    * @return True if 'actual' changed as a result of the call, false otherwise.
    */",,,,False,1
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/pdmodel/common/COSArrayList.java,equals,org.apache.pdfbox.pdmodel.common.COSArrayList:equals(java.lang.Object),432,436," /**
    * Overrides Object's equals() to compare based on 'actual'.
    * @param o object to compare with this instance
    * @return true if 'o' is equal to 'actual', false otherwise
    */",* {@inheritDoc},,,False,1
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/pdmodel/common/COSArrayList.java,hashCode,org.apache.pdfbox.pdmodel.common.COSArrayList:hashCode(),441,445," /**
    * Overrides Object's hashCode to provide custom hashing logic.
    * @return the hash code value for this object
    */",* {@inheritDoc},,,False,1
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/pdmodel/common/COSArrayList.java,lastIndexOf,org.apache.pdfbox.pdmodel.common.COSArrayList:lastIndexOf(java.lang.Object),543,548," /**
    * Returns the index of the last occurrence of an object in the list.
    * @param o The object to search for
    * @return The index; -1 if not found
    */",* {@inheritDoc},,,False,1
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/pdmodel/common/COSArrayList.java,listIterator,org.apache.pdfbox.pdmodel.common.COSArrayList:listIterator(),553,557," /**
     * Returns a list iterator over the elements in this list (in proper sequence).
     * @return a list iterator over the elements in this list
     */",* {@inheritDoc},,,False,1
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/pdmodel/common/COSArrayList.java,listIterator,org.apache.pdfbox.pdmodel.common.COSArrayList:listIterator(int),562,566," /**
    * Returns a list iterator over the elements in this collection from the given index.
    * @param index starting position for iteration
    * @return a ListIterator over the elements in this collection
    */",* {@inheritDoc},,,False,1
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/pdmodel/common/COSArrayList.java,subList,"org.apache.pdfbox.pdmodel.common.COSArrayList:subList(int,int)",571,575," /**
    * Returns a view of the portion of this list between 'fromIndex' and 'toIndex'.
    * @param fromIndex starting index (inclusive)
    * @param toIndex ending index (exclusive)
    * @return sublist within the specified range
    */",* {@inheritDoc},,,False,1
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/pdmodel/common/COSDictionaryMap.java,containsValue,org.apache.pdfbox.pdmodel.common.COSDictionaryMap:containsValue(java.lang.Object),87,91," /**
    * Checks if a given value exists in this map's values.
    * @param value The object to search for within the map's values
    * @return true if the value is found, false otherwise
    */",* {@inheritDoc},,,False,1
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/pdmodel/common/COSDictionaryMap.java,entrySet,org.apache.pdfbox.pdmodel.common.COSDictionaryMap:entrySet(),164,168," /**
    * Returns an unmodifiable set of the map's entries.
    * @return Unmodifiable set of map entries
    */",* {@inheritDoc},,,False,1
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/pdmodel/common/COSArrayList.java,toCOSObjectList,org.apache.pdfbox.pdmodel.common.COSArrayList:toCOSObjectList(java.util.Collection),352,366," /**
    * Converts a list of objects to COSBase objects for storage or processing.
    * @param list containing Strings and/or COSObjectable instances
    * @return List<COSBase> with converted elements
    */",,,,False,1
